strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,93,0.075978
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,94,0.075262
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,95,0.104412
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,96,0.066826
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,97,0.119564
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,98,0.094025
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,99,0.100819
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,100,0.094946
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,101,0.08087
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,102,0.099488
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,103,0.075824
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,104,0.071022
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,105,0.064598
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,106,0.067389
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,107,0.063793
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,108,0.069048
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,109,0.078893
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,110,0.081535
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,111,0.083568
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,112,0.075587
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,113,0.060043
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,114,0.064179
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,115,0.060875
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,116,0.068839
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,117,0.069423
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,118,0.065715
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,119,0.070634
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,120,0.050932
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,121,0.062272
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,122,0.07193
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,123,0.07004
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,124,0.063131
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,125,0.06646
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,126,0.061793
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,127,0.06939
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,128,0.061498
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,129,0.059289
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,130,0.057706
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,131,0.073955
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,132,0.06573
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,133,0.075689
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,134,0.065547
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,135,0.077797
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,136,0.082249
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,137,0.060486
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,138,0.057659
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,139,0.065456
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,140,0.065946
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,141,0.055071
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,142,0.059307
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,143,0.057108
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,144,0.063385
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,145,0.061276
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,146,0.051622
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,147,0.057957
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,148,0.078966
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,149,0.066194
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,150,0.045245
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,151,0.063533
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,152,0.058801
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,153,0.058462
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,154,0.071536
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,155,0.048519
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,156,0.065751
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,157,0.055069
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,158,0.040672
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,159,0.068121
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,160,0.042427
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,161,0.042713
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,162,0.057551
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,163,0.060872
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,164,0.073034
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,165,0.0383
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,166,0.064639
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,167,0.050042
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,168,0.059703
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,169,0.060457
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,170,0.074064
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,171,0.070598
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,172,0.045837
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,173,0.049891
