domain,model_parameters_m,strategy,run,metric,accuracy,summary
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-3,Teacher-forced,97.72,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-3,Student-only,88.33,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-3,Task,63.0,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-4,Teacher-forced,97.49,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-4,Student-only,88.56,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-4,Task,66.46,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-5,Teacher-forced,97.77,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-5,Student-only,88.36,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-5,Task,63.57000000000001,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-6,Teacher-forced,97.89999999999999,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-6,Student-only,89.25,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-6,Task,68.28999999999999,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-7,Teacher-forced,97.94,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-7,Student-only,89.73,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-7,Task,71.41999999999999,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-8,Teacher-forced,97.8,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-8,Student-only,88.63,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-8,Task,64.7,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-9,Teacher-forced,97.68,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-9,Student-only,88.31,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-9,Task,63.04,seed
Sentiment,3.416397,KL/CE anneal,mean,Teacher-forced,97.75699999999999,mean
Sentiment,3.416397,KL/CE anneal,mean,Student-only,88.62899999999999,mean
Sentiment,3.416397,KL/CE anneal,mean,Task,65.032,mean
